Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Bracelet design (product.metafields.shopify.bracelet-design),Color (product.metafields.shopify.color-pattern),Earring design (product.metafields.shopify.earring-design),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Necklace design (product.metafields.shopify.necklace-design),Ring design (product.metafields.shopify.ring-design),Ring size (product.metafields.shopify.ring-size),Target gender (product.metafields.shopify.target-gender),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
crystal-heart-padlock-necklace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000110492.png?v=1767610108,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crystal-nail-wrap-ring,Crystal Nail Wrap Ring,"<p>This edgy nail wrap ring features a pavé crystal-embellished center band with smooth polished ends that curve elegantly around your finger. The architectural design creates a bold, modern silhouette that's both fierce and sophisticated. The sparkling crystal center adds luxurious dimension, while the high-polish gold finish brings warm glamour to this statement piece.</p><p>Perfect for cocktail parties, nights out, or adding edge to your everyday style. The nail wrap design offers a fresh take on classic rings, making it ideal for both special occasions and daily wear. Wear it solo as a statement piece or stack with delicate bands for a curated, layered look.</p><p>Designed with an adjustable open band for comfortable fit. The lightweight construction ensures wearability despite the bold appearance, while the quality finish maintains its brilliance. The curved ends sit comfortably against your finger, while the crystal center adds dazzling sparkle that commands attention.</p><p>🎁 A bold gift for the woman who loves edgy, modern jewelry with architectural style.</p><h3>Features</h3><ul>
<li>Nail wrap design with curved polished ends</li>
<li>Pavé crystal-embellished center band</li>
<li>Adjustable open band for flexible sizing</li>
<li>High-polish gold-tone finish</li>
<li>Lightweight &amp; comfortable for all-day wear</li>
<li>Perfect for cocktail parties &amp; special occasions</li>
</ul>",Sviwa Creation,Apparel & Accessories > Jewelry > Rings,Rings,"crystal jewelry, edgy, gold-tone, ring, statement ring",TRUE,Title,Default Title,,,,,,,,,0,shopify,10,deny,manual,1899,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000109231.png?v=1767609828,1,,FALSE,Crystal Nail Wrap Ring - Edgy Gold Statement Ring,Edgy nail wrap ring with pavé crystal center band and polished curved ends. Adjustable gold-tone design. Perfect for cocktail parties & bold style. Shop now.,200,,adult,,,,,,,,,,,adults,,geometric,,metal; gold-plated,imitation-jewelry,,band,,female,,kg,,,active
crystal-nail-wrap-ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000109232.png?v=1767609829,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
princess-cut-crystal-band-ring,Princess-Cut Crystal Band Ring,"<p>This elegant eternity-style band ring features six brilliant princess-cut crystals set in a sleek polished silver band. Each square-cut stone is perfectly aligned and secured with bar settings, creating a continuous row of sparkle. The high-polish silver finish adds cool sophistication to this timeless design.</p><p>Perfect for weddings, anniversaries, or as a stunning everyday statement piece. The classic eternity style symbolizes eternal love and commitment, making it ideal for special occasions or stacking with engagement rings. Wear it solo for refined elegance or pair with other bands for a curated, layered look.</p><p>Designed with a smooth comfort-fit band that sits gently on your finger. The lightweight construction ensures all-day wearability, while the quality setting keeps each crystal secure. The princess-cut stones catch light from every angle, creating brilliant sparkle that elevates any look from casual to formal.</p><p>🎁 A timeless gift for the woman who loves classic elegance with sparkling, sophisticated style.</p><h3>Features</h3><ul>
<li>Six princess-cut crystals in bar settings</li>
<li>Eternity-style band design</li>
<li>Smooth comfort-fit band</li>
<li>High-polish silver-tone finish</li>
<li>Lightweight &amp; comfortable for all-day wear</li>
<li>Perfect for weddings, anniversaries &amp; stacking</li>
</ul>",Sviwa Creation,Apparel & Accessories > Jewelry > Rings,Rings,"band ring, crystal jewelry, eternity ring, ring, silver-tone",TRUE,Title,Default Title,,,,,,,,,0,shopify,10,deny,manual,1899,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000109228.png?v=1767609813,1,,FALSE,Princess-Cut Crystal Band Ring - Elegant Silver Eternity Ring,"Elegant eternity-style band ring with six princess-cut crystals in bar settings. Polished silver-tone finish. Perfect for weddings, anniversaries & stacking.",200,,adult,,,,,,,,,,,adults,,silver,,metal,imitation-jewelry,,band; eternity,6,female,,kg,,,active
princess-cut-crystal-band-ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000109227.png?v=1767609812,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crystal-bow-ring,Crystal Bow Ring,"<p>This elegant bow ring features baguette-cut crystals forming the ribbon loops with sparkling pavé crystal detailing on the knot and tails. The sculptural design captures the delicate beauty of a tied ribbon, creating a feminine and sophisticated statement. The polished silver finish adds cool elegance to this charming design.</p><p>Perfect for cocktail parties, weddings, or adding a touch of whimsy to your everyday wardrobe. The bow design offers a playful yet refined aesthetic, making it ideal for both special occasions and daily wear. Wear it solo as a statement piece or pair with delicate bands for a curated look.</p><p>Designed with an adjustable open band for comfortable fit. The lightweight construction ensures wearability despite the intricate appearance, while the quality crystals maintain their brilliance. The baguette and pavé crystal combination catches light beautifully, creating a dazzling effect that's both sweet and sophisticated.</p><p>🎁 A charming gift for the woman who loves feminine, romantic jewelry with playful elegance.</p><h3>Features</h3><ul>
<li>Bow design with baguette-cut crystal loops</li>
<li>Pavé crystal detailing on knot and tails</li>
<li>Adjustable open band for flexible sizing</li>
<li>Polished silver-tone finish</li>
<li>Lightweight &amp; comfortable for all-day wear</li>
<li>Perfect for cocktail parties &amp; special occasions</li>
</ul>",Sviwa Creation,Apparel & Accessories > Jewelry > Rings,Rings,"bow, crystal jewelry, ring, silver-tone, statement ring",TRUE,Title,Default Title,,,,,,,,,0,shopify,10,deny,manual,1999,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000109210.png?v=1767609769,1,,FALSE,Crystal Bow Ring - Elegant Silver Statement Ring,Elegant bow ring with baguette-cut crystal loops and pavé detailing. Adjustable silver-tone design. Perfect for cocktail parties & special occasions.,200,,adult,,,,,,,,,,,adults,,silver,,metal,imitation-jewelry,,,,female,,kg,,,active
five-stone-emerald-crystal-band-ring,Five-Stone Emerald Crystal Band Ring,"<p>This elegant five-stone band ring features emerald-cut crystals set in a smooth polished band that exudes timeless sophistication. Each crystal is beautifully faceted to catch light from every angle, creating brilliant sparkle with every movement. The classic emerald cut adds refined elegance, while the high-polish gold finish brings luxurious warmth to this versatile design.</p><p>Perfect for weddings, anniversaries, or adding a touch of elegance to your everyday wardrobe. The five-stone design offers a fresh take on classic eternity bands, making it ideal for both special occasions and daily wear. Wear it solo as a statement piece, pair with your engagement ring, or stack with other bands for a curated look.</p><p>Designed with a smooth comfort-fit band for all-day wearability. The lightweight construction ensures comfortable wear, while the quality finish maintains its brilliance. The emerald-cut crystals are securely set in prong settings, creating a refined look that's both classic and contemporary.</p><p>🎁 A timeless gift for the woman who loves classic elegance with sparkling, sophisticated style.</p><h3>Features</h3><ul>
<li>Five emerald-cut crystals in prong settings</li>
<li>Smooth comfort-fit band</li>
<li>High-polish gold-tone finish</li>
<li>Lightweight &amp; comfortable for all-day wear</li>
<li>Perfect for weddings, anniversaries &amp; special occasions</li>
<li>Ideal for stacking or solo wear</li>
</ul>",Sviwa Creation,Apparel & Accessories > Jewelry > Rings,Rings,"band ring, crystal jewelry, elegant, gold-tone, ring",TRUE,Title,Default Title,,,,,,,,,0,shopify,10,deny,manual,1899,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000109223.png?v=1767609786,1,,FALSE,Five-Stone Emerald Crystal Band Ring - Elegant Gold Ring,"Elegant five-stone band ring with emerald-cut crystals. Polished gold-tone finish, comfort-fit design. Perfect for weddings, anniversaries & stacking.",200,,adult,,,,,,,,,,,adults,,gold,,metal,imitation-jewelry,,band,6,female,,kg,,,active
five-stone-emerald-crystal-band-ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000109222.png?v=1767609785,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multi-band-wrap-ring,Multi-Band Wrap Ring,"<p>This chic multi-band wrap ring features smooth, polished wire bands that create an airy, layered effect. The open design wraps elegantly around your finger with multiple delicate bands that flow and intersect, creating beautiful dimension and movement. The high-polish gold finish adds luxurious warmth to this modern, minimalist design.</p><p>Perfect for everyday elegance or adding a contemporary edge to special occasions. The multi-band design offers a fresh take on classic rings, making it versatile enough for both casual and dressy looks. Wear it solo as a statement piece or stack with other delicate bands for a curated, layered look.</p><p>Designed with an adjustable open band for comfortable fit. The lightweight construction ensures wearability despite the bold appearance, while the quality finish maintains its shine. The flowing wire bands create an architectural silhouette that catches light beautifully from every angle.</p><p>🎁 A stylish gift for the woman who loves modern, minimalist jewelry with architectural elegance.</p><h3>Features</h3><ul>
<li>Multi-band wrap design with flowing wire bands</li>
<li>Smooth polished finish</li>
<li>Adjustable open band for flexible sizing</li>
<li>High-polish gold-tone finish</li>
<li>Lightweight &amp; comfortable for all-day wear</li>
<li>Perfect for casual &amp; dressy occasions</li>
</ul>",Sviwa Creation,Apparel & Accessories > Jewelry > Rings,Rings,"gold-tone, minimalist, modern, ring, wrap ring",TRUE,Title,Default Title,,,,,,,,,0,shopify,10,deny,manual,1499,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000109207.png?v=1767609715,1,,FALSE,Multi-Band Wrap Ring - Modern Gold Statement Ring,"Chic multi-band wrap ring with smooth polished wire bands. Adjustable gold-tone design, lightweight & comfortable. Perfect for modern everyday style.",200,,adult,,,,,,,,,,,adults,,gold; geometric,,metal; gold-plated,imitation-jewelry,,band,,female,,kg,,,active
multi-band-wrap-ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000109206.png?v=1767609715,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-charm-chain-bracelet,Butterfly Charm Chain Bracelet,"<p>This delicate butterfly charm bracelet features four smooth, polished butterfly silhouettes spaced gracefully along a fine chain. Each butterfly is beautifully sculpted with clean lines and elegant simplicity, creating a whimsical yet sophisticated design. The high-polish gold finish adds luxurious warmth to this nature-inspired piece.</p><p>Perfect for everyday wear or adding a touch of feminine charm to special occasions. The butterfly symbolizes transformation and freedom, making this an ideal gift for celebrating new beginnings or personal milestones. The adjustable chain ensures a comfortable fit, while the delicate design pairs beautifully with any style.</p><p>Designed with a fine chain and adjustable lobster clasp closure. The lightweight construction ensures all-day comfort, while the quality finish maintains its shine. The butterfly charms add subtle movement and personality, creating a refined look that's both playful and elegant.</p><p>🎁 A meaningful gift for the woman who loves delicate, nature-inspired jewelry with symbolic charm.</p><h3>Features</h3><ul>
<li>Four polished butterfly charm silhouettes</li>
<li>Delicate fine chain</li>
<li>Adjustable lobster clasp closure</li>
<li>High-polish gold-tone finish</li>
<li>Lightweight &amp; comfortable for all-day wear</li>
<li>Perfect for layering or solo styling</li>
</ul>",Sviwa Creation,Apparel & Accessories > Jewelry > Bracelets,Bracelets,"bracelet, butterfly, charm bracelet, delicate, gold-tone",TRUE,Title,Default Title,,,,,,,,,0,shopify,10,deny,manual,1299,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000110500.png?v=1767609530,1,,FALSE,Butterfly Charm Chain Bracelet - Delicate Gold Bracelet,"Delicate butterfly charm bracelet with four polished butterfly silhouettes on fine gold chain. Adjustable, lightweight design. Perfect for everyday wear.",191,,adult,,,,,,,,,,,adults,charm; chain,gold,,metal; gold-plated,imitation-jewelry,,,,female,,kg,,,active
butterfly-charm-chain-bracelet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000110499.png?v=1767609528,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twisted-multi-strand-mesh-bracelet,Twisted Multi-Strand Mesh Bracelet,"<p>This elegant twisted multi-strand mesh bracelet features interwoven gold-tone chains that create a beautiful braided rope effect. The delicate mesh strands twist together to form a fluid, dimensional design that catches light from every angle. The warm gold finish adds luxurious sophistication to this contemporary piece.</p><p>Perfect for everyday elegance or adding a touch of refinement to special occasions. The twisted mesh design offers a fresh take on classic chain bracelets, making it versatile enough for both office wear and evening events. Pair with a watch for layered style or wear solo for sleek sophistication.</p><p>Designed with an adjustable lobster clasp closure and extension chain for a customizable fit. The lightweight construction ensures comfortable all-day wear, while the quality finish maintains its shine. The twisted mesh creates beautiful movement and texture, adding visual interest to your every gesture.</p><p>🎁 A refined gift for the woman who loves modern, textured jewelry with elegant sophistication.</p><h3>Features</h3><ul>
<li>Twisted multi-strand mesh design</li>
<li>Interwoven gold-tone chains</li>
<li>Adjustable lobster clasp with extension chain</li>
<li>Polished gold-tone finish</li>
<li>Lightweight &amp; comfortable for all-day wear</li>
<li>Perfect for casual &amp; dressy occasions</li>
</ul>",Sviwa Creation,Apparel & Accessories > Jewelry > Bracelets,Bracelets,"bracelet, chain bracelet, elegant, gold-tone, twisted",TRUE,Title,Default Title,,,,,,,,,0,shopify,10,deny,manual,1499,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000110503.png?v=1767609511,1,,FALSE,Twisted Multi-Strand Mesh Bracelet - Elegant Gold Chain Bracelet,"Elegant twisted multi-strand mesh bracelet with interwoven gold chains. Adjustable design, lightweight & comfortable. Perfect for everyday elegance.",191,,adult,,,,,,,,,,,adults,chain; cord,gold,,metal; gold-plated,imitation-jewelry,,,,female,,kg,,,active
